Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423079789,0401E412,true,Rx,0,7,01,01,FD,FF,00,00,00,00,
-1762630423079618,0401E452,true,Rx,0,8,01,78,C9,F5,FF,FF,00,00,
-1762630423079490,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423079362,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423079234,0401E452,true,Rx,0,8,00,78,44,F5,FF,FF,00,00,
-1762630423076162,04030C82,true,Rx,0,4,01,05,10,00,00,00,00,00,
-1762630423076034,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630423074583,0405240A,true,Rx,0,3,01,00,00,00,00,00,00,00,
-1762630423069464,0401E411,true,Rx,0,7,00,01,FE,FF,00,00,00,00,
-1762630423069336,0401E411,true,Rx,0,7,01,01,0A,00,00,00,00,00,
-1762630423069208,0401E451,true,Rx,0,8,01,83,72,FE,FF,FF,00,00,
-1762630423069037,0401E451,true,Rx,0,8,00,83,4B,FF,FF,FF,00,00,
-1762630423067202,04098C31,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423067117,04098C51,true,Rx,0,3,00,ED,FF,00,00,00,00,00,
-1762630423065325,040A2011,true,Rx,0,8,EC,FF,F5,FF,D0,03,87,8E,
-1762630423065197,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,86,8E,
-1762630423064173,040A2012,true,Rx,0,8,11,00,F9,FF,E9,03,87,8E,
-1762630423064045,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,87,8E,
-1762630423062339,0405C40F,true,Rx,0,8,00,01,32,40,7E,51,27,2E,
-1762630423062168,0405C42F,true,Rx,0,8,00,64,9F,29,D9,FF,31,00,
-1762630423062040,0405C40F,true,Rx,0,8,01,01,E4,3F,E2,51,BF,1D,
-1762630423061912,0405C42F,true,Rx,0,8,01,64,00,2A,56,00,30,00,
-1762630423061784,0405C52F,true,Rx,0,5,00,0C,00,46,00,00,00,00,
-1762630423061656,0405C40F,true,Rx,0,8,02,01,30,41,D8,51,76,D5,
-1762630423061528,0405C42F,true,Rx,0,8,02,64,7D,28,04,00,48,00,
-1762630423061400,0405C52F,true,Rx,0,5,02,0F,00,29,00,00,00,00,
-1762630423061315,0405C52F,true,Rx,0,5,01,09,00,80,FF,00,00,00,
-1762630423060461,0405C410,true,Rx,0,8,00,01,DF,45,C1,87,DF,71,
-1762630423060333,0405C430,true,Rx,0,8,00,64,73,08,42,00,E1,00,
-1762630423060205,0405C410,true,Rx,0,8,01,01,54,4C,CE,87,35,48,
-1762630423060035,0405C430,true,Rx,0,8,01,64,C3,2B,48,00,EC,FF,
-1762630423059907,0401E412,true,Rx,0,7,00,01,03,00,00,00,00,00,
-1762630423059779,0401E412,true,Rx,0,7,01,01,FF,FF,00,00,00,00,
-1762630423059608,0401E452,true,Rx,0,8,01,8C,C9,F5,FF,FF,00,00,
-1762630423059480,0401E452,true,Rx,0,8,00,8C,44,F5,FF,FF,00,00,
-1762630423059352,0405C410,true,Rx,0,8,02,01,2F,45,E8,88,C4,8A,
-1762630423059224,0405C530,true,Rx,0,5,00,75,FF,A1,FE,00,00,00,
