Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423130198,040A2011,true,Rx,0,8,38,00,C8,FF,25,04,85,84,
-1762630423130070,04056411,true,Rx,0,8,FE,FF,19,00,8F,FD,85,84,
-1762630423125932,0401E411,true,Rx,0,7,00,05,BC,00,C1,FE,01,00,
-1762630423125804,0401E411,true,Rx,0,7,01,05,0A,00,D8,FE,01,00,
-1762630423125676,0401E451,true,Rx,0,8,01,8A,8B,00,00,00,95,FA,
-1762630423125505,0401E451,true,Rx,0,8,00,8A,93,01,00,00,E8,F8,
-1762630423123159,1C00015A,true,Rx,0,8,02,FD,09,00,07,01,28,80,
-1762630423123031,1C00015A,true,Rx,0,5,00,D7,16,40,03,00,00,00,
-1762630423121751,1C00034A,true,Rx,0,8,02,FD,09,00,07,01,28,80,
-1762630423121623,1C00034A,true,Rx,0,5,00,D7,17,1E,03,00,00,00,
-1762630423120001,0401E481,true,Rx,0,4,11,01,D6,FE,00,00,00,00,
-1762630423119873,0401E481,true,Rx,0,4,11,00,D2,FE,00,00,00,00,
-1762630423119788,0401E481,true,Rx,0,4,12,00,6B,FE,00,00,00,00,
-1762630423119660,0401E481,true,Rx,0,4,12,01,3D,FF,00,00,00,00,
-1762630423116929,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423115735,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423115223,1C0002BA,true,Rx,0,8,02,FD,09,00,06,01,28,80,
-1762630423115095,1C0002BA,true,Rx,0,5,00,1A,16,40,03,00,00,00,
-1762630423114199,1C00003A,true,Rx,0,8,02,FD,09,00,0C,01,28,80,
-1762630423114071,1C00003A,true,Rx,0,5,00,A7,16,40,03,00,00,00,
-1762630423113772,1C000355,true,Rx,0,8,02,FD,09,00,06,01,28,80,
-1762630423113644,1C000355,true,Rx,0,5,00,1A,17,1E,03,00,00,00,
-1762630423113218,1C000341,true,Rx,0,8,02,FD,09,00,0C,01,28,80,
-1762630423113090,1C000341,true,Rx,0,5,00,A7,17,1E,03,00,00,00,
-1762630423111170,040A2012,true,Rx,0,8,DB,FF,B6,FF,32,03,97,84,
-1762630423111042,04056412,true,Rx,0,8,F7,FF,11,00,A8,00,97,84,
-1762630423110615,0401E412,true,Rx,0,7,00,05,1A,00,A4,FE,01,00,
-1762630423110487,0401E412,true,Rx,0,7,01,05,FA,FF,FB,FE,01,00,
-1762630423110359,0401E452,true,Rx,0,8,01,97,D5,01,00,00,D5,FA,
-1762630423110188,0401E452,true,Rx,0,8,00,97,E2,FF,FF,FF,28,F8,
-1762630423110103,04056411,true,Rx,0,8,FE,FF,16,00,8F,FD,99,84,
-1762630423109932,040A2011,true,Rx,0,8,0D,00,1E,00,61,03,99,84,
-1762630423109804,040D6863,true,Rx,0,6,00,69,00,00,00,00,00,00,
-1762630423109719,0405240A,true,Rx,0,3,02,00,00,00,00,00,00,00,
-1762630423109634,040D6843,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423107884,040D6863,true,Rx,0,6,01,A6,01,00,00,02,00,00,
-1762630423105922,0401E411,true,Rx,0,7,00,05,C9,00,D5,FE,01,00,
-1762630423105794,0401E411,true,Rx,0,7,01,05,08,00,D7,FE,01,00,
-1762630423105666,0401E451,true,Rx,0,8,00,9E,90,01,00,00,E6,F8,
-1762630423105538,0401E451,true,Rx,0,8,01,9E,88,00,00,00,95,FA,
-1762630423105410,040D6843,true,Rx,0,3,01,00,00,00,00,00,00,00,
-1762630423100162,04072001,true,Rx,0,4,01,01,01,01,00,00,00,00,
-1762630423099906,0401E481,true,Rx,0,4,11,01,D5,FE,00,00,00,00,
-1762630423099778,0401E481,true,Rx,0,4,11,00,D3,FE,00,00,00,00,
-1762630423099693,0401E481,true,Rx,0,4,12,00,5F,FE,00,00,00,00,
-1762630423099565,0401E481,true,Rx,0,4,12,01,49,FF,00,00,00,00,
-1762630423096877,0405C40F,true,Rx,0,8,00,01,03,43,C5,1A,A4,F6,
-1762630423096749,0405C42F,true,Rx,0,8,00,64,26,E0,8B,FF,AA,00,
-1762630423096578,0405C40F,true,Rx,0,8,01,01,33,43,39,1B,FC,F5,
-1762630423096450,0405C42F,true,Rx,0,8,01,64,24,E0,26,00,FC,FF,
-1762630423096322,0405C52F,true,Rx,0,5,00,64,00,52,00,00,00,00,
-1762630423096194,0405C40F,true,Rx,0,8,02,01,A7,44,A4,1B,4F,F5,
-1762630423096066,0405C42F,true,Rx,0,8,02,64,A7,E0,C0,FF,61,00,
-1762630423095938,0405C52F,true,Rx,0,5,02,8C,00,4C,00,00,00,00,
-1762630423095853,0405C52F,true,Rx,0,5,01,84,00,67,FF,00,00,00,
-1762630423095085,0405C410,true,Rx,0,8,00,01,F6,35,87,1F,C8,0B,
-1762630423094957,0405C430,true,Rx,0,8,00,64,18,25,B8,00,83,01,
-1762630423094829,0405C410,true,Rx,0,8,01,01,61,36,3F,1F,12,0C,
-1762630423094658,0405C430,true,Rx,0,8,01,64,37,24,D6,FF,30,FC,
-1762630423094573,0405C530,true,Rx,0,5,00,0A,00,F6,FE,00,00,00,
-1762630423094445,04030C82,true,Rx,0,4,00,01,00,00,00,00,00,00,
-1762630423094317,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630423094189,0405C410,true,Rx,0,8,02,01,A8,36,5F,1D,15,0B,
-1762630423094018,0405C430,true,Rx,0,8,02,64,AB,24,C5,02,C0,FF,
-1762630423093933,0405C530,true,Rx,0,5,02,11,01,22,02,00,00,00,
-1762630423093805,0405C530,true,Rx,0,5,01,11,03,58,00,00,00,00,
-1762630423092781,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423092184,1C00017A,true,Rx,0,8,02,FD,09,00,09,01,28,80,
-1762630423092098,1C00017A,true,Rx,0,5,00,75,16,40,03,00,00,00,
-1762630423091800,040A2012,true,Rx,0,8,47,00,8F,FF,05,05,AA,84,
-1762630423091672,04056412,true,Rx,0,8,FA,FF,10,00,A5,00,AA,84,
-1762630423091501,0401E412,true,Rx,0,7,00,05,1A,00,A5,FE,01,00,
-1762630423091330,0401E412,true,Rx,0,7,01,05,00,00,FE,FE,01,00,
-1762630423091202,0401E452,true,Rx,0,8,01,AB,D2,01,00,00,0D,FB,
-1762630423091074,0401E452,true,Rx,0,8,00,AB,DE,FF,FF,FF,F4,F7,
-1762630423090904,1C00029A,true,Rx,0,8,02,FD,09,00,08,01,28,80,
-1762630423090818,1C00029A,true,Rx,0,5,00,B8,16,40,03,00,00,00,
-1762630423090648,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423090477,1C00034B,true,Rx,0,8,02,FD,09,00,09,01,28,80,
-1762630423090392,1C00034B,true,Rx,0,5,00,75,17,1E,03,00,00,00,
-1762630423090179,040A2011,true,Rx,0,8,F0,FF,19,00,85,04,AD,84,
-1762630423090093,04056411,true,Rx,0,8,FE,FF,16,00,8F,FD,AD,84,
-1762630423089923,1C00023A,true,Rx,0,8,02,FD,09,00,0A,01,28,80,
-1762630423089795,1C00023A,true,Rx,0,5,00,3B,16,40,03,00,00,00,
-1762630423088216,1C000354,true,Rx,0,8,02,FD,09,00,08,01,28,80,
-1762630423088088,1C000354,true,Rx,0,5,00,B8,17,1E,03,00,00,00,
-1762630423087960,1C000351,true,Rx,0,8,02,FD,09,00,0A,01,28,80,
-1762630423087832,1C000351,true,Rx,0,5,00,3B,17,1E,03,00,00,00,
-1762630423085912,0401E411,true,Rx,0,7,00,05,E5,00,D3,FE,01,00,
-1762630423085784,0401E411,true,Rx,0,7,01,05,0C,00,E5,FE,01,00,
-1762630423085656,0401E451,true,Rx,0,8,00,B2,8D,01,00,00,E6,F8,
-1762630423085528,0401E451,true,Rx,0,8,01,B2,85,00,00,00,89,FA,
-1762630423085101,1C0000BA,true,Rx,0,8,02,FD,09,00,0D,01,28,80,
-1762630423085016,1C0000BA,true,Rx,0,5,00,6A,16,40,03,00,00,00,
-1762630423084845,1C00037A,true,Rx,0,8,02,FD,09,00,0B,01,28,80,
-1762630423084717,1C00037A,true,Rx,0,5,00,F6,16,40,03,00,00,00,
-1762630423083480,1C000345,true,Rx,0,8,02,FD,09,00,0D,01,28,80,
-1762630423083352,1C000345,true,Rx,0,5,00,6A,17,1E,03,00,00,00,
-1762630423083181,1C00035B,true,Rx,0,8,02,FD,09,00,0B,01,28,80,
-1762630423083053,1C00035B,true,Rx,0,5,00,F6,17,1E,03,00,00,00,
-1762630423080195,0401E481,true,Rx,0,4,11,01,D5,FE,00,00,00,00,
-1762630423080110,0401E481,true,Rx,0,4,11,00,D3,FE,00,00,00,00,
-1762630423079982,0401E481,true,Rx,0,4,12,00,53,FE,00,00,00,00,
-1762630423079896,0401E481,true,Rx,0,4,12,01,55,FF,00,00,00,00,
-1762630423071833,040A2012,true,Rx,0,8,F6,FF,78,00,8B,03,BE,84,
-1762630423071705,04056412,true,Rx,0,8,F9,FF,10,00,A1,00,BE,84,
-1762630423071534,0401E412,true,Rx,0,7,00,05,24,00,9F,FE,01,00,
-1762630423071406,0401E412,true,Rx,0,7,01,05,FE,FF,09,FF,01,00,
-1762630423071235,0401E452,true,Rx,0,8,01,BF,D0,01,00,00,46,FB,
-1762630423071107,0401E452,true,Rx,0,8,00,BF,DA,FF,FF,FF,BB,F7,
-1762630423070169,040A2011,true,Rx,0,8,22,00,11,00,EB,02,C1,84,
-1762630423070041,04056411,true,Rx,0,8,FD,FF,16,00,8F,FD,C1,84,
-1762630423065945,0401E411,true,Rx,0,7,00,05,EF,00,D5,FE,01,00,
-1762630423065817,0401E411,true,Rx,0,7,01,05,0E,00,DE,FE,01,00,
-1762630423065646,0401E451,true,Rx,0,8,00,C6,8A,01,00,00,E5,F8,
-1762630423065518,0401E451,true,Rx,0,8,01,C6,83,00,00,00,83,FA,
-1762630423064196,1C00005A,true,Rx,0,8,02,FD,09,00,0E,01,28,80,
-1762630423064110,1C00005A,true,Rx,0,5,00,24,16,40,03,00,00,00,
-1762630423060100,0401E481,true,Rx,0,4,11,01,D5,FE,00,00,00,00,
-1762630423060014,0401E481,true,Rx,0,4,11,00,D3,FE,00,00,00,00,
-1762630423059929,0401E481,true,Rx,0,4,12,00,48,FE,00,00,00,00,
-1762630423059801,0401E481,true,Rx,0,4,12,01,60,FF,00,00,00,00,
-1762630423059716,0405240A,true,Rx,0,3,F5,FF,00,00,00,00,00,00,
-1762630423059588,1C000342,true,Rx,0,8,02,FD,09,00,0E,01,28,80,
-1762630423059460,1C000342,true,Rx,0,5,00,24,17,1E,03,00,00,00,
-1762630423051823,040A2012,true,Rx,0,8,F0,FF,86,FF,5E,04,D2,84,
-1762630423051695,04056412,true,Rx,0,8,FA,FF,0F,00,9C,00,D2,84,
-1762630423051481,0401E412,true,Rx,0,7,00,05,2C,00,97,FE,01,00,
-1762630423051396,0401E412,true,Rx,0,7,01,05,FE,FF,19,FF,01,00,
-1762630423051225,0401E452,true,Rx,0,8,01,D3,CD,01,00,00,7B,FB,
-1762630423051097,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423050969,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423050841,0401E452,true,Rx,0,8,00,D3,D6,FF,FF,FF,80,F7,
-1762630423050201,040A2011,true,Rx,0,8,79,FF,26,00,9E,03,D5,84,
-1762630423050073,04056411,true,Rx,0,8,FE,FF,13,00,8F,FD,D5,84,
-1762630423049945,04072001,true,Rx,0,4,01,01,01,01,00,00,00,00,
-1762630423046831,0405C40F,true,Rx,0,8,00,01,E6,42,05,1B,67,F6,
-1762630423046703,0405C42F,true,Rx,0,8,00,64,DE,DF,7B,FF,A5,00,
-1762630423046618,0405C52F,true,Rx,0,5,00,72,00,65,00,00,00,00,
-1762630423046447,0405C40F,true,Rx,0,8,01,01,DC,42,BD,1B,A2,F5,
-1762630423046319,0405C42F,true,Rx,0,8,01,64,D0,DF,4D,FF,ED,FF,
-1762630423046191,0405C40F,true,Rx,0,8,02,01,1E,44,41,1C,99,F4,
-1762630423046063,0405C42F,true,Rx,0,8,02,64,1F,E0,15,00,62,00,
-1762630423045935,0405C52F,true,Rx,0,5,01,A5,00,67,00,00,00,00,
-1762630423045807,0401E411,true,Rx,0,7,00,05,EE,00,D6,FE,01,00,
-1762630423045679,0401E411,true,Rx,0,7,01,05,0C,00,DD,FE,01,00,
-1762630423045551,0401E451,true,Rx,0,8,01,DA,80,00,00,00,7D,FA,
-1762630423045423,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
