Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630070314894,040A2012,true,Rx,0,8,70,00,5C,00,F5,03,CB,D7,
-1762630070314724,04056412,true,Rx,0,8,05,00,0C,00,C2,04,CB,D7,
-1762630070312420,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630070311993,1C00037A,true,Rx,0,8,02,FD,09,00,0B,01,28,80,
-1762630070311865,1C00037A,true,Rx,0,5,00,F6,16,40,03,00,00,00,
-1762630070311183,0401E411,true,Rx,0,7,00,05,14,00,6E,FF,01,00,
-1762630070311055,0401E411,true,Rx,0,7,01,05,00,00,B0,FF,01,00,
-1762630070310927,0401E451,true,Rx,0,8,01,D0,56,FF,FF,FF,CD,FE,
-1762630070310756,0401E451,true,Rx,0,8,00,D0,70,00,00,00,77,FC,
-1762630070310671,0401E481,true,Rx,0,4,11,01,B3,FF,00,00,00,00,
-1762630070310585,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630070310457,0401E481,true,Rx,0,4,12,01,71,FF,00,00,00,00,
-1762630070310329,0401E481,true,Rx,0,4,12,00,95,FF,00,00,00,00,
-1762630070307684,1C00035B,true,Rx,0,8,02,FD,09,00,0B,01,28,80,
-1762630070307556,1C00035B,true,Rx,0,5,00,F6,17,1E,03,00,00,00,
-1762630423131071,1C0000BA,true,Rx,0,8,02,FD,09,00,0D,01,28,80,
-1762630423130943,1C0000BA,true,Rx,0,5,00,6A,16,40,03,00,00,00,
-1762630423130132,040D6863,true,Rx,0,6,00,00,00,00,00,01,00,00,
-1762630423129407,1C000345,true,Rx,0,8,02,FD,09,00,0D,01,28,80,
-1762630423129279,1C000345,true,Rx,0,5,00,6A,17,1E,03,00,00,00,
-1762630423128554,0401E412,true,Rx,0,7,00,05,21,00,94,FF,01,00,
-1762630423128426,0401E412,true,Rx,0,7,01,05,1F,00,60,FF,01,00,
-1762630423128298,0401E452,true,Rx,0,8,01,DC,F6,F6,FF,FF,C7,FB,
-1762630423128127,0401E452,true,Rx,0,8,00,DC,9C,F6,FF,FF,C1,FC,
-1762630423128042,040D6843,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423125525,040A2011,true,Rx,0,8,8C,FF,05,00,D4,03,DF,D7,
-1762630423125354,04056411,true,Rx,0,8,FC,FF,09,00,4B,FC,DF,D7,
-1762630423125226,040D6863,true,Rx,0,6,01,00,00,00,00,01,00,00,
-1762630423125098,0405240A,true,Rx,0,3,2C,01,00,00,00,00,00,00,
-1762630423124885,040A2012,true,Rx,0,8,5F,FF,A5,FF,60,04,DF,D7,
-1762630423124714,04056412,true,Rx,0,8,05,00,06,00,C5,04,DF,D7,
-1762630423124159,040D6843,true,Rx,0,3,01,00,00,00,00,00,00,00,
-1762630423121173,0401E411,true,Rx,0,7,00,05,16,00,6B,FF,01,00,
-1762630423121045,0401E411,true,Rx,0,7,01,05,FF,FF,B6,FF,01,00,
-1762630423120874,0401E451,true,Rx,0,8,01,E4,55,FF,FF,FF,CB,FE,
-1762630423120746,0401E451,true,Rx,0,8,00,E4,6F,00,00,00,7F,FC,
-1762630423120661,0401E481,true,Rx,0,4,11,01,B2,FF,00,00,00,00,
-1762630423120533,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423120447,0401E481,true,Rx,0,4,12,01,6F,FF,00,00,00,00,
-1762630423120319,0401E481,true,Rx,0,4,12,00,97,FF,00,00,00,00,
-1762630423112725,0405C40F,true,Rx,0,8,00,01,D6,38,B0,37,49,1B,
-1762630423112640,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423112512,0405C42F,true,Rx,0,8,00,64,17,27,2A,00,3E,00,
-1762630423112341,0405C40F,true,Rx,0,8,01,01,33,3A,88,38,FD,0B,
-1762630423112213,0405C42F,true,Rx,0,8,01,64,F5,28,E8,FF,46,00,
-1762630423112128,0405C52F,true,Rx,0,5,00,1F,00,24,00,00,00,00,
-1762630423111957,0405C40F,true,Rx,0,8,02,01,16,3D,52,39,CC,E7,
-1762630423111829,0405C42F,true,Rx,0,8,02,64,F8,22,F5,FF,3F,00,
-1762630423111744,0405C52F,true,Rx,0,5,02,28,00,EC,FF,00,00,00,
-1762630423111616,0405C52F,true,Rx,0,5,01,AD,FF,6C,00,00,00,00,
-1762630423110890,0405C410,true,Rx,0,8,00,01,9B,42,63,5A,01,1F,
-1762630423110762,0405C430,true,Rx,0,8,00,64,A9,2B,36,00,85,00,
-1762630423110634,0405C530,true,Rx,0,5,00,04,00,63,00,00,00,00,
-1762630423110506,0405C410,true,Rx,0,8,01,01,A5,42,BD,5A,66,35,
-1762630423110379,0405C430,true,Rx,0,8,01,64,6C,2B,69,01,50,01,
-1762630423110208,0405C410,true,Rx,0,8,02,01,E2,3C,0A,59,05,3B,
-1762630423110080,0405C430,true,Rx,0,8,02,64,C0,27,54,00,B6,FF,
-1762630423109952,0405C530,true,Rx,0,5,02,39,00,B2,FF,00,00,00,
-1762630423109867,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423109781,0405C530,true,Rx,0,5,01,3A,00,FC,FE,00,00,00,
-1762630423108544,0401E412,true,Rx,0,7,00,05,26,00,A0,FF,01,00,
-1762630423108416,0401E412,true,Rx,0,7,01,05,1F,00,60,FF,01,00,
-1762630423108288,0401E452,true,Rx,0,8,01,F0,F4,F6,FF,FF,D2,FB,
-1762630423108160,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423108032,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423107861,0401E452,true,Rx,0,8,00,F0,9B,F6,FF,FF,BB,FC,
-1762630423105515,040A2011,true,Rx,0,8,73,00,FB,FF,B6,03,F3,D7,
-1762630423105387,04056411,true,Rx,0,8,FC,FF,08,00,4C,FC,F3,D7,
-1762630423104875,040A2012,true,Rx,0,8,AD,FF,FB,FF,AA,03,F3,D7,
-1762630423104747,04056412,true,Rx,0,8,04,00,08,00,C6,04,F3,D7,
-1762630423104064,04072001,true,Rx,0,4,01,00,01,00,00,00,00,00,
-1762630423101846,04030C82,true,Rx,0,4,00,01,00,00,00,00,00,00,
-1762630423101675,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630423101206,0401E411,true,Rx,0,7,00,05,22,00,71,FF,01,00,
-1762630423101078,0401E411,true,Rx,0,7,01,05,FC,FF,B0,FF,01,00,
-1762630423100907,0401E451,true,Rx,0,8,01,F8,54,FF,FF,FF,CC,FE,
-1762630423100779,0401E451,true,Rx,0,8,00,F8,6E,00,00,00,82,FC,
-1762630423100694,0401E481,true,Rx,0,4,11,01,B2,FF,00,00,00,00,
-1762630423100566,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423100438,0401E481,true,Rx,0,4,12,01,6F,FF,00,00,00,00,
-1762630423100352,0401E481,true,Rx,0,4,12,00,97,FF,00,00,00,00,
-1762630423088577,0401E412,true,Rx,0,7,00,05,15,00,9D,FF,01,00,
-1762630423088449,0401E412,true,Rx,0,7,01,05,1C,00,64,FF,01,00,
-1762630423088278,0401E452,true,Rx,0,8,00,04,99,F6,FF,FF,B7,FC,
-1762630423088150,0401E452,true,Rx,0,8,01,04,F2,F6,FF,FF,DA,FB,
-1762630423086614,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423085505,040A2011,true,Rx,0,8,B8,FF,02,00,B5,03,07,D8,
-1762630423085377,04056411,true,Rx,0,8,FC,FF,08,00,4E,FC,07,D8,
-1762630423085249,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423084566,040A2012,true,Rx,0,8,E7,FF,38,00,FF,03,07,D8,
-1762630423084438,04056412,true,Rx,0,8,05,00,0B,00,C8,04,07,D8,
-1762630423081196,0401E411,true,Rx,0,7,00,05,1F,00,7A,FF,01,00,
-1762630423081068,0401E411,true,Rx,0,7,01,05,02,00,B0,FF,01,00,
-1762630423080940,0401E451,true,Rx,0,8,01,0C,54,FF,FF,FF,CD,FE,
-1762630423080769,0401E451,true,Rx,0,8,00,0C,6C,00,00,00,7F,FC,
-1762630423080684,0401E481,true,Rx,0,4,11,01,B2,FF,00,00,00,00,
-1762630423080556,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630423080470,0401E481,true,Rx,0,4,12,01,6F,FF,00,00,00,00,
-1762630423080342,0401E481,true,Rx,0,4,12,00,97,FF,00,00,00,00,
-1762630423076972,04098C31,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423076886,04098C51,true,Rx,0,3,00,F2,FF,00,00,00,00,00,
-1762630423073985,0405240A,true,Rx,0,3,2E,01,00,00,00,00,00,00,
-1762630423068567,0401E412,true,Rx,0,7,00,05,1B,00,97,FF,01,00,
-1762630423068439,0401E412,true,Rx,0,7,01,05,17,00,70,FF,01,00,
-1762630423068311,0401E452,true,Rx,0,8,01,18,F1,F6,FF,FF,DA,FB,
-1762630423068183,0401E452,true,Rx,0,8,00,18,98,F6,FF,FF,B7,FC,
-1762630423065495,040A2011,true,Rx,0,8,42,FF,D8,FF,02,04,1B,D8,
